index,input,match,non_exact,street,coordinate,tiger,lr
"11102","5237  MOUNTAIN RIDGE PKWY  BIRMINGHAM, Jefferson County, AL, 352224141","Match","Non_Exact","5237 MOUNTAIN RIDGE PKWY, BIRMINGHAM, AL, 35222","-86.74507011299994,33.52268217500006","618694335","R"
"12430","836  BRAD DR  BIRMINGHAM, Jefferson County, AL, 352353002","Match","Non_Exact","836 BRAD DR, CENTER POINT, AL, 35235","-86.66761019399996,33.58562532900004","81588273","L"
"13761","2815  FIVE OAKS LN  VESTAVIA, Jefferson County, AL, 352432621","Match","Non_Exact","2815 FIVE OAKS LN, BIRMINGHAM, AL, 35243","-86.73477058299994,33.42390011900005","81637587","R"
"11101","5244  MOUNTAIN RIDGE PKWY  BIRMINGHAM, Jefferson County, AL, 352224143","Match","Non_Exact","5244 MOUNTAIN RIDGE PKWY, BIRMINGHAM, AL, 35222","-86.74471016099994,33.522891935000075","618694335","L"
"12431","856  BRAD DR  BIRMINGHAM, Jefferson County, AL, 352353002","Match","Non_Exact","856 BRAD DR, CENTER POINT, AL, 35235","-86.66703508099994,33.58562294200004","81588273","L"
"13762","4719  SHADY WATERS LN  BIRMINGHAM, Jefferson County, AL, 352432633","No_Match"
"11104","5825  SOUTHCREST RD  BIRMINGHAM, Jefferson County, AL, 352131007","Match","Non_Exact","5825 SOUTHCREST RD, BIRMINGHAM, AL, 35213","-86.73958169799994,33.52573008200005","632494437","R"
"12436","915  BARNISDALE CIR  BIRMINGHAM, Jefferson County, AL, 352352573","Match","Non_Exact","915 BARNISDALE CIR, CENTER POINT, AL, 35235","-86.67623926799996,33.58995837800006","81569629","R"
"13767","1130  16TH AVE S BIRMINGHAM, Jefferson County, AL, 352054667","Match","Non_Exact","1130 16TH AVE S, BIRMINGHAM, AL, 35205","-86.80905681299998,33.49119533800007","81672128","L"
"11103","5249  MOUNTAIN RIDGE PKWY  BIRMINGHAM, Jefferson County, AL, 352224141","Match","Non_Exact","5249 MOUNTAIN RIDGE PKWY, BIRMINGHAM, AL, 35222","-86.74430241799996,33.52311072300006","618694335","R"
